position,driverNumber,driverId,constructorId,engineManufacturerId,tyreManufacturerId,laps,time,timePenalty,gap,interval,reasonRetired,points,gridPosition,year,race,grandSlam
5,12,ayrton-senna,lotus,honda,goodyear,72.0,1:50:26.199,,+1:13.507,+42.057,,2.0,5.0,1987,spain,
2,12,ayrton-senna,lotus,honda,goodyear,59.0,1:31:51.621,,+27.545,+27.545,,6.0,1.0,1987,san-marino,
7,12,ayrton-senna,lotus,honda,goodyear,68.0,,,+2 laps,,,,5.0,1987,portugal,
3,12,ayrton-senna,lotus,honda,goodyear,43.0,,,+1 lap,,,4.0,2.0,1987,germany,
5,12,ayrton-senna,lotus,honda,goodyear,50.0,,,+2 laps,,,2.0,7.0,1987,austria,
DSQ,12,ayrton-senna,lotus,honda,goodyear,82.0,,,,,Illegal brake ducts,,4.0,1987,australia,
4,12,ayrton-senna,mclaren,honda,goodyear,72.0,1:49:30.561,,+46.710,+11.264,,3.0,1.0,1988,spain,
1,12,ayrton-senna,mclaren,honda,goodyear,76.0,1:57:47.081,,,,,9.0,1.0,1988,hungary,
1,12,ayrton-senna,mclaren,honda,goodyear,65.0,1:33:16.367,,,,,9.0,3.0,1988,great-britain,
DSQ,12,ayrton-senna,mclaren,honda,goodyear,31.0,,,,,Illegal car change,,1.0,1988,brazil,
1,12,ayrton-senna,mclaren,honda,goodyear,51.0,1:33:26.173,,,,,9.0,1.0,1988,japan,
DNF,12,ayrton-senna,mclaren,honda,goodyear,66.0,,,,,Accident,,1.0,1988,monaco,
6,12,ayrton-senna,mclaren,honda,goodyear,70.0,1:38:59.227,,+1:18.269,+6.385,,1.0,2.0,1988,portugal,
1,12,ayrton-senna,mclaren,honda,goodyear,63.0,1:54:56.035,,,,,9.0,1.0,1988,detroit,
1,12,ayrton-senna,mclaren,honda,goodyear,60.0,1:32:41.264,,,,,9.0,1.0,1988,san-marino,
1,12,ayrton-senna,mclaren,honda,goodyear,44.0,1:32:54.188,,,,,9.0,1.0,1988,germany,
1,12,ayrton-senna,mclaren,honda,goodyear,69.0,1:39:46.618,,,,,9.0,1.0,1988,canada,
2,12,ayrton-senna,mclaren,honda,goodyear,67.0,1:30:22.841,,+7.104,+7.104,,6.0,1.0,1988,mexico,
2,12,ayrton-senna,mclaren,honda,goodyear,82.0,1:53:51.463,,+36.787,+36.787,,6.0,1.0,1988,australia,
2,12,ayrton-senna,mclaren,honda,goodyear,80.0,1:38:09.080,,+31.752,+31.752,,6.0,2.0,1988,france,
1,12,ayrton-senna,mclaren,honda,goodyear,43.0,1:28:00.549,,,,,9.0,1.0,1988,belgium,
10,12,ayrton-senna,mclaren,honda,goodyear,49.0,,,,,Collision,,1.0,1988,italy,
1,1,ayrton-senna,mclaren,honda,goodyear,73.0,1:47:48.264,,,,,9.0,1.0,1989,spain,True
2,1,ayrton-senna,mclaren,honda,goodyear,77.0,1:50:04.617,,+25.967,+25.967,,6.0,2.0,1989,hungary,
DNF,1,ayrton-senna,mclaren,honda,goodyear,11.0,,,,,Spun off,,1.0,1989,great-britain,
11,1,ayrton-senna,mclaren,honda,goodyear,59.0,,,+2 laps,,,,1.0,1989,brazil,
DSQ,1,ayrton-senna,mclaren,honda,goodyear,53.0,,,,,Rejoined track illegally,,1.0,1989,japan,
1,1,ayrton-senna,mclaren,honda,goodyear,77.0,1:53:33.251,,,,,9.0,1.0,1989,monaco,
DNF,1,ayrton-senna,mclaren,honda,goodyear,44.0,,,,,Electrical,,1.0,1989,united-states,
7,1,ayrton-senna,mclaren,honda,goodyear,66.0,,,,,Engine,,2.0,1989,canada,
DNF,1,ayrton-senna,mclaren,honda,goodyear,48.0,,,,,Collision,,1.0,1989,portugal,
1,1,ayrton-senna,mclaren,honda,goodyear,58.0,1:26:51.245,,,,,9.0,1.0,1989,san-marino,
1,1,ayrton-senna,mclaren,honda,goodyear,45.0,1:21:43.302,,,,,9.0,1.0,1989,germany,
1,1,ayrton-senna,mclaren,honda,goodyear,69.0,1:35:21.431,,,,,9.0,1.0,1989,mexico,
DNF,1,ayrton-senna,mclaren,honda,goodyear,13.0,,,,,Collision,,1.0,1989,australia,
DNF,1,ayrton-senna,mclaren,honda,goodyear,0.0,,,,,Differential,,2.0,1989,france,
1,1,ayrton-senna,mclaren,honda,goodyear,44.0,1:40:54.196,,,,,9.0,1.0,1989,belgium,
DNF,1,ayrton-senna,mclaren,honda,goodyear,44.0,,,,,Engine,,1.0,1989,italy,
